"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UXCVFTCL","journalArticle","2025","Bos, Hayo; Baas, Stef; Boucherie, Richard J.; Hans, Erwin W.; Leeftink, Gréanne","Bed census prediction combining expert opinion and patient statistics","Omega","","03050483","10.1016/j.omega.2024.103262","https://linkinghub.elsevier.com/retrieve/pii/S0305048324002263","Predictions of bed census are crucial for hospital capacity management choices, encompassing ward sizing, staffing, patient bed assignments, and surgical scheduling. Presently, these predictions heavily rely on doctors’ estimated Expected Discharge Date (EDD). This paper introduces two probabilistic models that integrate EDD with Length of Stay (LoS) distributions derived from data. By employing the Poisson binomial distribution and probabilistic convolution, we generate full census distributions. Applying our approach to real hospital data demonstrates its ability to provide precise predictions, leading to valuable managerial insights.","2025-06","2025-03-07 13:14:24","2025-03-07 13:26:02","2025-03-07 13:26:02","103262","","","133","","Omega","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: 13a2e6bced0f4f6ca087e61d2f5fc6b1 Publisher: Elsevier B.V.","","","","Bayesian methods; Bed census distribution; Expected Discharge Date; Operations Research in Health Services; Poisson binomial; UT-Hybrid-D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K94F48JV","journalArticle","2025","Wallrath, Roderich; Franke, Meik; Walter, Matthias","Improved linear programming relaxations for flow shop problems with makespan minimization","Computers & Operations Research","","03050548","10.1016/j.cor.2024.106970","https://linkinghub.elsevier.com/retrieve/pii/S0305054824004428","Machine scheduling problems with makespan minimization have been addressed in various academic and industrial fields using mixed-integer programming (MIP). In most MIP models, however, the makespan variable is poorly linked to the natural date variables of jobs. To address this, we propose novel, strengthening inequalities, derived from the single-machine scheduling polyhedron augmented by a makespan variable. While the associated optimization problem for a single machine is trivial, these inequalities can be applied as cutting planes to more complicated scheduling problems. In this work, we demonstrate their use for non-permutation flow shops. Using the Taillard benchmark set, we analyze the effect of the inequalities on the linear programming relaxations and mixed-integer programs of three commonly used MIP models. The experiments show that the inequalities significantly improve the ability of linear-ordering and time-indexed models to bound the optimum. The positive effect also extends to linear-ordering models with changeover times, demonstrating the potential of these inequalities to improve more general, application-oriented flow shop problems.","2025-05","2025-03-07 13:14:24","2025-03-07 13:26:55","2025-03-07 13:26:55","106970","","","177","","Computers & Operations Research","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: a322f9dffdc14f8080d06704573362ae Publisher: Elsevier Ltd","","","","UT-Hybrid-D; Flow shops; Makespan minimization; Mixed-integer programming; Scheduling polytope","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BHICUEV3","journalArticle","2025","Armas, Jay; Merbis, Wout; Meylahn, Janusz M; Rafiee Rad, Soroush; Del Razo, Mauricio J","Risk aversion can promote cooperation","Journal of Physics: Complexity","","2632-072X","10.1088/2632-072X/adb234","https://iopscience.iop.org/article/10.1088/2632-072X/adb234","Abstract             Cooperative dynamics are central to our understanding of many phenomena in living and complex systems. However, we lack a universal mechanism to explain the emergence of cooperation. We present a novel framework for modelling social dilemma games with an arbitrary number of players by combining reaction networks, methods from quantum mechanics applied to stochastic complex systems, game theory and stochastic simulations of molecular reactions. Using this framework, we propose a novel and robust mechanism for cooperation based on risk aversion that leads to cooperative behaviour in population games. Rather than individuals seeking to maximise payouts in the long run, individuals seek to obtain a minimum set of resources with a given level of confidence and in a limited time span. We show that this mechanism can lead to the emergence of new equilibria in a range of social dilemma games.","2025-03-01","2025-03-07 13:14:24","2025-03-07 13:25:56","2025-03-07 13:25:56","015010","","1","6","","J. Phys. Complex.","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: e86b790ae2344516a38f524c5af67537 Publisher: Institute of Physics (IOP)","","","","UT-Hybrid-D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2KQ7H6X6","journalArticle","2025","Kong, Insung; Kim, Kunwoong; Kim, Yongdai","Fair Representation Learning for Continuous Sensitive Attributes using Expectation of Integral Probability Metrics","IEEE Transactions on Pattern Analysis and Machine Intelligence","","0162-8828, 2160-9292, 1939-3539","10.1109/TPAMI.2025.3538915","https://ieeexplore.ieee.org/document/10874180/","AI fairness, also known as algorithmic fairness, aims to ensure that algorithms operate without bias or discrimination towards any individual or group. Among various AI algorithms, the Fair Representation Learning (FRL) approach has gained significant interest in recent years. However, existing FRL algorithms have a limitation: they are primarily designed for categorical sensitive attributes and thus cannot be applied to continuous sensitive attributes, such as age or income. In this paper, we propose an FRL algorithm for continuous sensitive attributes. First, we introduce a measure called the Expectation of Integral Probability Metrics (EIPM) to assess the fairness level of representation space for continuous sensitive attributes. We demonstrate that if the distribution of the representation has a low EIPM value, then any prediction head constructed on the top of the representation become fair, regardless of the selection of the prediction head. Furthermore, EIPM possesses a distinguished advantage in that it can be accurately estimated using our proposed estimator with finite samples. Based on these properties, we propose a new FRL algorithm called Fair Representation using EIPM with MMD (FREM). Experimental evidences show that FREM outperforms other baseline methods.","2025","2025-03-07 13:14:24","2025-03-07 13:26:26","2025-03-07 13:26:26","1-12","","","","","IEEE Trans. Pattern Anal. Mach. Intell.","","","","","","","","en","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","Citation Key: 6421bab753a0441db17596134ce05b2c Publisher: IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MWNIGRK6","journalArticle","2025","Melistas, Mentzelos","LOW RANK SPECIALISATIONS OF ELLIPTIC SURFACES","Bulletin of the Australian Mathematical Society","","0004-9727, 1755-1633","10.1017/S0004972724001175","https://www.cambridge.org/core/product/identifier/S0004972724001175/type/journal_article","Abstract                            Let                                                                      $E/\mathbb {Q}(T)$                                               be a nonisotrivial elliptic curve of rank               r               . A theorem due to Silverman [‘Heights and the specialization map for families of abelian varieties’,               J. reine angew. Math.               342               (1983), 197–211] implies that the rank                                                                      $r_t$                                               of the specialisation                                                                      $E_t/\mathbb {Q}$                                               is at least               r               for all but finitely many                                                                      $t \in \mathbb {Q}$                                               . Moreover, it is conjectured that                                                                      $r_t \leq r+2$                                               , except for a set of density                                                                      $0$                                               . When                                                                      $E/\mathbb {Q}(T)$                                               has a torsion point of order                                                                      $2$                                               , under an assumption on the discriminant of a Weierstrass equation for                                                                      $E/\mathbb {Q}(T)$                                               , we produce an upper bound for                                                                      $r_t$                                               that is valid for infinitely many               t               . We also present two examples of nonisotrivial elliptic curves                                                                      $E/\mathbb {Q}(T)$                                               such that                                                                      $r_t \leq r+1$                                               for infinitely many               t               .","2025-01-13","2025-03-07 13:14:24","2025-03-07 13:26:34","2025-03-07 13:26:34","1-10","","","","","Bull. Aust. Math. Soc.","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: 2e5869ccd4ec4c0ba340529e4dd79c77 Publisher: Cambridge University Press","","","","2025 OA procedure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HGVE8QBH","journalArticle","2025","Christianen, M. H. M.; Van Kempen, S.; Vlasiou, M.; Zwart, B.","Polyhedral Restrictions of Feasibility Regions in Optimal Power Flow for Distribution Networks","IEEE Transactions on Control of Network Systems","","2325-5870, 2372-2533","10.1109/TCNS.2025.3526718","https://ieeexplore.ieee.org/document/10830547/","The optimal power flow (OPF) problem is one of the most fundamental problems in power system operations. The non-linear alternating current (AC) power flow equations that model different physical laws (together with operational constraints) lay the foundation for the feasibility region of the OPF problem. While significant research has focused on convex relaxations, which are approaches to solve an OPF problem by enlarging the true feasibility region, the opposite approach of convex restrictions offers valuable insights as well. Convex restrictions, including polyhedral restrictions, reduce the true feasible region to a convex region, ensuring that it contains only feasible points. In this work, we develop a sequential optimization method that offers a scalable way to obtain (bounds on) solutions to OPF problems for distribution networks. To do so, we first develop sufficient conditions for the existence of feasible power flow solutions in the neighborhood of a specific (feasible) operating point in distribution networks, and second, based on these conditions, we construct a polyhedral restriction of the feasibility region. Our numerical results demonstrate the efficacy of the sequential optimization method as an alternative to existing approaches to obtain (bounds on) solutions to OPF problems for distribution networks. By construction, the optimization problems within the defined restrictions can be solved in polynomial time and are guaranteed to have feasible solutions.","2025","2025-03-07 13:14:25","2025-03-07 13:26:08","2025-03-07 13:26:08","1-12","","","","","IEEE Trans. Control Netw. Syst.","","","","","","","","en","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","Citation Key: b373824478a546a8acd1e2c6dc12c3da Publisher: IEEE","","","","2025 OA procedure; Optimal power flow; Polyhedral restriction; Sequential optimization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85LKAANB","journalArticle","2025","Kim, Kunwoong; Kong, Insung; Lee, Jongjin; Chae, Minwoo; Park, Sangchul; Kim, Yongdai","Fairness through matching","Transactions on Machine Learning Research","","2835-8856","","","Group fairness requires that different protected groups, characterized by a given sensitive attribute, receive equal outcomes overall. Typically, the level of group fairness is measured by the statistical gap between predictions from different protected groups. In this study, we reveal an implicit property of existing group fairness measures, which provides an insight into how the group-fair models behave. Then, we develop a new group-fair constraint based on this implicit property to learn group-fair models. To do so, we first introduce a notable theoretical observation: every group-fair model has an implicitly corresponding transport map between the input spaces of each protected group. Based on this observation, we introduce a new group fairness measure termed Matched Demographic Parity (MDP), which quantifies the averaged gap between predictions of two individuals (from different protected groups) matched by a given transport map. Then, we prove that any transport map can be used in MDP to learn group-fair models, and develop a novel algorithm called Fairness Through Matching (FTM)1, which learns a group-fair model using MDP constraint with an user-specified transport map.We specifically propose two favorable types of transport maps for MDP, based on the optimal transport theory, and discuss their advantages. Experiments reveal that FTM successfully trains group-fair models with certain desirable properties by choosing the transport map accordingly.","2025-01","2025-03-07 13:14:25","2025-03-07 13:18:14","","","","","","","Trans. Mach. Learn. Res.","","","","","","","","en","","","","","","","Citation Key: aa3ff239e94d49fe98ff229572b79115 Publisher: International Machine Learning Society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GDBHSZC9","journalArticle","2025","Kohler, Michael; Langer, Sophie","Statistical theory for image classification using deep convolutional neural network with cross-entropy loss under the hierarchical max-pooling model","Journal of Statistical Planning and Inference","","03783758","10.1016/j.jspi.2024.106188","https://linkinghub.elsevier.com/retrieve/pii/S0378375824000454","Convolutional neural networks (CNNs) trained with cross-entropy loss have proven to be extremely successful in classifying images. In recent years, much work has been done to also improve the theoretical understanding of neural networks. Nevertheless, it seems limited when these networks are trained with cross-entropy loss, mainly because of the unboundedness of the target function. In this paper, we aim to fill this gap by analysing the rate of the excess risk of a CNN classifier trained by cross-entropy loss. Under suitable assumptions on the smoothness and structure of the a posteriori probability, it is shown that these classifiers achieve a rate of convergence which is independent of the dimension of the image. These rates are in line with the practical observations about CNNs.","2025-01","2025-03-07 13:14:25","2025-03-07 13:26:25","2025-03-07 13:26:25","106188","","","234","","Journal of Statistical Planning and Inference","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: b13ce97fb63b47d89e6168fb89930b1f Publisher: Elsevier B.V.","","","","Convergence rates; Convolutional neural networks; Curse of dimensionality; Image classification; Statistical risk bounds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q8T2WS9X","journalArticle","2024","Meylahn, Benedikt V.; Meylahn, Janusz M.","How social reinforcement learning can lead to metastable polarisation and the voter model","PLOS ONE","","1932-6203","10.1371/journal.pone.0313951","https://dx.plos.org/10.1371/journal.pone.0313951","Previous explanations for the persistence of polarization of opinions have typically included modelling assumptions that predispose the possibility of polarization (i.e., assumptions allowing a pair of agents to drift apart in their opinion such as repulsive interactions or bounded confidence). An exception is a recent simulation study showing that polarization is persistent when agents form their opinions using social reinforcement learning. Our goal is to highlight the usefulness of reinforcement learning in the context of modeling opinion dynamics, but that caution is required when selecting the tools used to study such a model. We show that the polarization observed in the model of the simulation study cannot persist indefinitely, and exhibits consensus asymptotically with probability one. By constructing a link between the reinforcement learning model and the voter model, we argue that the observed polarization is metastable. Finally, we show that a slight modification in the learning process of the agents changes the model from being non-ergodic to being ergodic. Our results show that reinforcement learning may be a powerful method for modelling polarization in opinion dynamics, but that the tools (objects to study such as the stationary distribution, or time to absorption for example) appropriate for analysing such models crucially depend on their properties (such as ergodicity, or transience). These properties are determined by the details of the learning process and may be difficult to identify based solely on simulations.","2024-12-17","2025-03-07 13:14:25","2025-03-07 13:26:35","2025-03-07 13:26:35","e0313951","","12","19","","PLoS ONE","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: a5ab427022224653941d9b136031d860 Publisher: Public Library of Science","","","","","","Ott, William","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3TWI9IQ8","journalArticle","2024","Zou, Rong; Lin, Boyue; Uetz, Marc; Walter, Matthias","Algorithmic solutions for maximizing shareable costs","Networks","","0028-3045, 1097-0037","10.1002/net.22240","https://onlinelibrary.wiley.com/doi/10.1002/net.22240","Abstract             This article addresses the linear optimization problem to maximize the total costs that can be shared among a group of agents, while maintaining stability in the sense of the core constraints of a cooperative transferable utility game, or TU game. When maximizing total shareable costs, the cost shares must satisfy all constraints that define the core of a TU game, except for being budget balanced. The article first gives a fairly complete picture of the computational complexity of this optimization problem, its relation to optimization over the core itself, and its equivalence to other, minimal core relaxations that have been proposed earlier. We then address minimum cost spanning tree (MST) games as an example for a class of cost sharing games with non‐empty core. While submodular cost functions yield efficient algorithms to maximize shareable costs, MST games have cost functions that are subadditive, but generally not submodular. Nevertheless, it is well known that cost shares in the core of MST games can be found efficiently. In contrast, we show that the maximization of shareable costs is ‐hard for MST games and derive a 2‐approximation algorithm. Our work opens several directions for future research.","2024-12","2025-03-07 13:14:25","2025-03-07 13:27:01","2025-03-07 13:27:01","385-397","","4","84","","Networks","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: 699611a29ac445169308667434c2c2d9 Publisher: Wiley","","","","UT-Hybrid-D; Computational complexity; Cost sharing; Minimum spanning tree game","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
